"H40-BPAR-6","CASEID","FAM-1B","FAM-2A","HGC-MOTHER","HGC-FATHER","FAM-28A","R_REL-1_COL","R_REL-3","Q9-72","Q3-3","Q3-4","MIL-6","Q13-5","SAMPLE_ID","SAMPLE_RACE","SAMPLE_SEX","URBAN-RURAL","MARSTAT-KEY","FAMSIZE","TNFI_TRUNC","POVSTATUS","DELIN-1","DELIN-3","DELIN-4","DELIN-5","DELIN-6","DELIN-7","DELIN-8","DELIN-9","DELIN-10","DELIN-11","DELIN-12","DELIN-13","DELIN-14","DELIN-15","DELIN-18","POLICE-1","POLICE-6","POLICE-7","Q12-4","DRUG-22","DRUG-26","DRUG-32"
1,30,20,2,-2,6,1,9,2,0,13,12,0,4811,5,3,2,1,0,4,24200,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,-3,-3,-3
1,31,15,1,9,3,2,7,2,0,9,8,-4,-4,4,1,1,1,0,4,5088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,0,0,0
1,32,21,2,12,12,2,7,1,0,15,14,0,200,8,1,2,1,0,5,22500,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,1,0,0
1,33,16,1,12,15,2,7,5,0,10,9,-4,-4,4,1,1,1,0,4,23500,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,34,20,1,13,12,5,9,2,0,13,13,0,640,1,3,1,0,0,4,21000,0,-4,-4,1,1,1,0,0,0,2,1,4,2,0,0,0,0,-4,-4,3,1,0,0
-4,35,15,1,12,12,5,9,4,0,10,9,-4,-4,5,3,2,0,0,4,18000,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0
1,36,16,1,14,12,3,7,1,0,10,9,-4,-4,1,3,1,0,0,5,21000,0,2,6,4,5,5,0,4,4,4,4,6,6,6,6,5,1,1,1,0,1,1,0
1,37,20,1,12,12,4,7,5,0,12,12,0,7700,5,3,2,1,0,4,37000,0,-4,-4,0,0,0,0,0,0,1,0,6,0,0,0,0,0,-4,-4,-4,0,0,0
1,38,16,1,12,12,4,7,5,0,10,9,-4,-4,5,3,2,1,0,4,37000,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-4,-4,2,0,0,0
0,39,20,1,12,12,4,3,1,0,12,12,0,7190,1,3,1,1,0,4,22000,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,0,0
1,40,19,1,10,12,2,7,1,0,13,12,0,400,2,3,1,1,0,3,5500,0,-4,-4,0,1,0,0,0,0,1,0,3,3,0,0,0,0,-4,-4,4,0,0,0
1,41,16,1,10,12,3,7,5,0,11,10,-4,-4,2,3,1,1,0,3,5500,0,0,5,5,0,0,0,0,0,3,0,3,0,0,0,0,0,-4,-4,2,0,0,0
1,42,15,2,14,12,1,7,4,0,9,8,-4,-4,1,3,1,1,0,4,21000,0,0,5,5,4,5,5,5,0,5,0,5,3,5,0,0,0,-4,-4,3,0,0,0
1,43,17,1,10,9,2,0,1,0,12,11,0,-4,6,3,2,1,0,5,-2,-3,-4,-4,0,0,3,0,0,0,3,1,5,0,0,0,0,0,-4,-4,0,0,0,0
1,44,17,1,12,12,4,3,4,0,12,11,0,-4,5,3,2,1,0,4,30000,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,0,0,0
-4,45,19,1,9,10,2,7,2,0,12,12,0,3200,1,3,1,1,0,3,15000,0,-4,-4,0,0,0,0,0,0,1,0,6,3,3,0,0,0,-4,-4,2,0,0,0
1,46,16,2,12,12,0,7,4,0,10,9,-4,-4,5,3,2,0,0,3,28000,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-4,-4,0,0,0,0
1,47,20,1,12,16,1,0,1,0,12,12,0,9000,1,3,1,0,0,3,32388,0,-4,-4,2,0,0,0,0,0,1,0,6,6,0,0,0,1,1,0,2,0,0,0
-4,48,20,1,12,12,3,7,-3,0,12,12,1,6000,2,3,1,1,0,2,9000,0,-4,-4,0,0,0,0,-1,0,0,0,5,0,0,0,0,0,-4,-4,0,-5,-5,-5
1,49,20,1,12,12,6,7,5,0,14,14,0,4000,5,3,2,1,1,2,23900,0,-4,-4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,-4,-4,1,0,0,0
1,50,20,1,9,10,4,7,2,0,10,9,0,6969,5,3,2,1,0,4,28000,0,-4,-4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,-4,-4,3,1,0,0
-4,51,16,1,9,12,4,7,1,1,9,8,-4,400,1,3,1,1,0,4,28000,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,52,20,1,12,14,6,7,4,0,14,14,0,7000,1,3,1,1,0,1,8000,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,53,15,1,-2,4,3,7,2,0,8,7,-4,-4,4,1,1,1,0,7,15646,0,0,0,6,2,4,0,0,5,5,3,0,0,0,0,3,0,-4,-4,4,0,0,0
1,54,20,1,3,5,3,7,2,0,11,10,0,10000,1,3,1,1,0,2,15000,0,-4,-4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-4,0,0,0
-4,55,20,1,12,12,2,7,1,0,12,12,0,5000,1,3,1,1,0,4,12000,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,56,14,1,12,12,2,7,5,0,9,8,-4,-4,5,3,2,1,0,4,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,3,-5,-5,-5
0,57,20,1,12,12,1,7,3,0,12,12,0,3230,5,3,2,1,1,2,23289,0,-4,-4,0,0,0,0,0,0,1,0,5,0,0,0,0,0,-4,-4,0,0,1,0
1,58,22,1,12,17,2,3,1,0,16,15,0,7000,5,3,2,1,0,5,50000,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,0,0,0
1,59,20,1,-2,-2,2,3,1,0,12,12,0,4000,1,3,1,1,0,5,50000,0,-4,-4,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0
-4,60,17,1,12,16,2,3,2,0,11,10,0,-4,1,3,1,1,0,5,50000,0,-4,-4,0,0,2,0,0,0,1,0,0,3,5,0,1,1,-3,-3,-5,0,0,0
1,61,16,1,12,16,3,7,2,0,11,10,-4,-4,5,3,2,1,0,4,32000,0,0,5,-1,0,0,0,0,1,0,0,5,0,4,0,0,0,-4,-4,5,0,0,0
1,62,14,1,12,16,3,7,1,0,9,8,-4,-4,5,3,2,1,0,4,32000,0,0,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,-4,-4,4,0,0,0
1,63,19,1,12,12,3,7,2,0,13,12,0,4000,1,3,1,1,0,3,37000,0,-4,-4,0,0,0,3,0,0,0,0,6,5,3,0,0,1,0,0,6,1,1,0
-4,64,17,1,15,12,3,7,2,0,12,11,0,-4,1,3,1,1,0,6,37000,0,-4,-4,0,1,3,2,0,0,1,0,6,0,5,0,0,1,0,0,3,1,1,0
-4,65,15,1,16,12,3,7,5,0,10,9,-4,-4,5,3,2,1,0,6,37000,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,1,0,0,0
0,66,15,1,12,17,3,7,4,0,9,8,-4,-4,1,3,1,1,0,4,-1,-3,1,6,3,3,1,2,0,0,4,3,6,2,2,0,0,1,0,0,4,0,0,0
